horizon,scope,model,MAE,RMSE,nRMSE,Skill,R2
1h,overall,SARIMA,0.1233,0.2124,0.6340,0.0573,0.7290
1h,overall,SolarGRU,0.1142,0.1905,0.5685,0.3370,0.7999
1h,overall,SolarGNN,0.1155,0.1977,0.5902,0.4618,0.7843
1h,overall,Persistence,0.1217,0.2872,0.8574,0.0000,0.5447
6h,overall,SARIMA,0.1198,0.2100,0.6271,0.6214,0.7351
6h,overall,SolarGRU,0.1422,0.2235,0.6672,0.6155,0.7244
6h,overall,SolarGNN,0.1481,0.2336,0.6974,0.6793,0.6989
6h,overall,Persistence,0.4077,0.5812,1.7352,0.0000,-0.8641
24h,overall,SARIMA,0.1238,0.2165,0.6514,0.1857,0.7168
24h,overall,SolarGRU,0.1546,0.2386,0.7182,0.1795,0.6840
24h,overall,SolarGNN,0.1524,0.2414,0.7265,0.2244,0.6766
24h,overall,Persistence,0.1392,0.2908,0.8753,0.0000,0.5306
1h,daytime,SARIMA,0.2374,0.2983,0.4466,-0.0402,0.1873
1h,daytime,SolarGRU,0.2148,0.2681,0.3742,0.2262,0.3709
1h,daytime,SolarGNN,0.2104,0.2709,0.3781,0.3572,0.3577
1h,daytime,Persistence,0.1955,0.3465,0.4836,0.0000,-0.0507
6h,daytime,SARIMA,0.2344,0.2959,0.4429,0.4899,0.2001
6h,daytime,SolarGRU,0.2542,0.3117,0.4351,0.4986,0.1498
6h,daytime,SolarGNN,0.2599,0.3199,0.4466,0.5769,0.1043
6h,daytime,Persistence,0.4843,0.6216,0.8676,0.0000,-2.3813
24h,daytime,SARIMA,0.2428,0.3051,0.4593,0.1879,0.1554
24h,daytime,SolarGRU,0.2839,0.3347,0.4698,0.2091,0.0309
24h,daytime,SolarGNN,0.2793,0.3339,0.4687,0.2595,0.0354
24h,daytime,Persistence,0.2960,0.4232,0.5940,0.0000,-0.5495
